strain1,strain2,segments,gen,phys
CB4852,CX11292,9,0.527074764,0.578286115
CB4852,CX11262,7,0.260154873,0.293247411
CX11292,CX11262,7,0.360154634,0.47404309
CB4852,CX11315,7,0.334403888,0.43875797
CX11292,CX11315,10,0.481361011,0.613190952
CX11262,CX11315,10,0.367359142,0.488401908
CB4852,CX11271,13,0.426752316,0.498244459
CX11292,CX11271,13,0.640114892,0.661924553
CX11262,CX11271,6,0.268254813,0.327238785
CX11315,CX11271,11,0.421463613,0.495319026
CB4852,CX11276,7,0.43603106,0.483379073
CX11292,CX11276,9,0.600171122,0.618359135
CX11262,CX11276,8,0.283925659,0.365414017
CX11315,CX11276,13,0.413291542,0.527346184
CX11271,CX11276,11,0.583321708,0.623443954
CB4852,CX11285,11,0.306863865,0.380580435
CX11292,CX11285,11,0.379244223,0.41515541
CX11262,CX11285,7,0.147719916,0.216205596
CX11315,CX11285,10,0.302352062,0.361507993
CX11271,CX11285,14,0.450695323,0.486718642
CX11276,CX11285,13,0.330498572,0.402055396
CB4852,ED3005,10,0.400404713,0.473326803
CX11292,ED3005,11,0.582830464,0.631045832
CX11262,ED3005,6,0.238117774,0.300739022
CX11315,ED3005,9,0.380680277,0.456197077
CX11271,ED3005,11,0.528156321,0.573300149
CX11276,ED3005,7,0.344896225,0.417279045
CX11285,ED3005,9,0.359897205,0.385304844
CB4852,ED3012,12,0.664948082,0.728207378
CX11292,ED3012,8,0.467728737,0.507870781
CX11262,ED3012,5,0.192453154,0.222516504
CX11315,ED3012,9,0.319648881,0.419133663
CX11271,ED3012,11,0.392793558,0.448075519
CX11276,ED3012,9,0.445257121,0.479781772
CX11285,ED3012,12,0.275193141,0.337712391
ED3005,ED3012,7,0.301295713,0.391986568
CB4852,ED3017,11,0.546780183,0.59077206
CX11292,ED3017,7,0.403164284,0.46282909
CX11262,ED3017,6,0.186001149,0.24176659
CX11315,ED3017,6,0.275891517,0.352326455
CX11271,ED3017,13,0.364930742,0.474945159
CX11276,ED3017,10,0.40339564,0.480824486
CX11285,ED3017,9,0.261454574,0.335243275
ED3005,ED3017,10,0.302041066,0.380479715
ED3012,ED3017,9,0.424141356,0.47081941
CB4852,ED3048,9,0.565197291,0.610895076
CX11292,ED3048,13,0.658609334,0.662317188
CX11262,ED3048,8,0.287755653,0.3321388
CX11315,ED3048,8,0.361027068,0.460854518
CX11271,ED3048,16,0.530774046,0.57694822
CX11276,ED3048,10,0.488712482,0.514586328
CX11285,ED3048,16,0.393685303,0.444337593
ED3005,ED3048,11,0.407424918,0.485369333
ED3012,ED3048,9,0.531526583,0.570776588
ED3017,ED3048,9,0.439217194,0.508805584
CB4852,ED3052,5,0.398876696,0.425753763
CX11292,ED3052,9,0.456306176,0.435629308
CX11262,ED3052,7,0.20409254,0.212340705
CX11315,ED3052,8,0.278784808,0.312183732
CX11271,ED3052,12,0.442613984,0.416517381
CX11276,ED3052,8,0.393976218,0.383287222
CX11285,ED3052,12,0.278875375,0.306830575
ED3005,ED3052,8,0.353854461,0.370471024
ED3012,ED3052,7,0.359831085,0.374448449
ED3017,ED3052,6,0.324756283,0.353298128
ED3048,ED3052,12,0.556432176,0.598262493
CB4852,ED3073,13,0.485307427,0.574906491
CX11292,ED3073,10,0.4631601,0.544091463
CX11262,ED3073,8,0.25740144,0.308332372
CX11315,ED3073,9,0.300027881,0.428317698
CX11271,ED3073,14,0.417386772,0.484634892
CX11276,ED3073,10,0.438907514,0.489372263
CX11285,ED3073,13,0.237128339,0.340416281
ED3005,ED3073,10,0.300835589,0.412126071
ED3012,ED3073,11,0.389562609,0.480750818
ED3017,ED3073,14,0.423720076,0.481617846
ED3048,ED3073,15,0.512349564,0.594213298
ED3052,ED3073,8,0.316468098,0.404100989
CB4852,EG4347,15,0.656812578,0.751796546
CX11292,EG4347,8,0.570587511,0.615801672
CX11262,EG4347,7,0.261104239,0.327591516
CX11315,EG4347,9,0.392415575,0.476841799
CX11271,EG4347,13,0.532026956,0.566467124
CX11276,EG4347,11,0.520976025,0.542263378
CX11285,EG4347,12,0.320531759,0.383109029
ED3005,EG4347,7,0.418731956,0.48942494
ED3012,EG4347,15,0.6618857,0.722154271
ED3017,EG4347,11,0.472495565,0.512673471
ED3048,EG4347,13,0.587943963,0.615563502
ED3052,EG4347,7,0.363959734,0.391000396
ED3073,EG4347,14,0.515005263,0.571695564
CB4852,EG4349,12,0.319685799,0.362871263
CX11292,EG4349,12,0.300624579,0.336579322
CX11262,EG4349,9,0.123838219,0.192244692
CX11315,EG4349,10,0.18956587,0.263005997
CX11271,EG4349,14,0.300698719,0.369670255
CX11276,EG4349,11,0.294447199,0.35651977
CX11285,EG4349,10,0.188959952,0.234767845
ED3005,EG4349,10,0.22165994,0.280062425
ED3012,EG4349,11,0.219242509,0.26865736
ED3017,EG4349,16,0.373943935,0.410269775
ED3048,EG4349,18,0.373208177,0.40050892
ED3052,EG4349,10,0.264617105,0.299169509
ED3073,EG4349,12,0.362199213,0.391716902
EG4347,EG4349,14,0.289528551,0.337873278
CB4852,EG4946,12,0.654825963,0.70362967
CX11292,EG4946,10,0.73537892,0.777963261
CX11262,EG4946,8,0.374373537,0.455696461
CX11315,EG4946,12,0.431410929,0.556578008
CX11271,EG4946,12,0.593723623,0.620242434
CX11276,EG4946,10,0.528386327,0.541040753
CX11285,EG4946,13,0.338946403,0.400334392
ED3005,EG4946,12,0.515880404,0.582616859
ED3012,EG4946,12,0.593894657,0.632133434
ED3017,EG4946,9,0.430194646,0.481437456
ED3048,EG4946,12,0.589368868,0.608014281
ED3052,EG4946,8,0.421949079,0.421617758
ED3073,EG4946,11,0.444974602,0.525155052
EG4347,EG4946,12,0.630668605,0.698764107
EG4349,EG4946,12,0.276541013,0.31001437
CB4852,JT11398,9,0.508520297,0.650560331
CX11292,JT11398,7,0.298330531,0.44419527
CX11262,JT11398,6,0.187238945,0.273340955
CX11315,JT11398,6,0.241789389,0.380812184
CX11271,JT11398,11,0.356705056,0.495981777
CX11276,JT11398,10,0.358281045,0.499301803
CX11285,JT11398,9,0.188081316,0.304045038
ED3005,JT11398,7,0.279699379,0.389613599
ED3012,JT11398,14,0.495878804,0.578603345
ED3017,JT11398,10,0.430272013,0.550206134
ED3048,JT11398,6,0.332880762,0.476325365
ED3052,JT11398,8,0.290239767,0.37063236
ED3073,JT11398,7,0.329390723,0.459514706
EG4347,JT11398,12,0.515234363,0.622841519
EG4349,JT11398,9,0.217927483,0.353724067
EG4946,JT11398,10,0.365624049,0.526787479
CB4852,JU310,12,0.489124458,0.510538192
CX11292,JU310,8,0.481033154,0.530372507
CX11262,JU310,5,0.209762898,0.234033414
CX11315,JU310,5,0.279167493,0.368667385
CX11271,JU310,13,0.438363409,0.534797361
CX11276,JU310,8,0.448343354,0.519446778
CX11285,JU310,9,0.254319265,0.339524468
ED3005,JU310,10,0.328522439,0.392472175
ED3012,JU310,8,0.372242365,0.41238612
ED3017,JU310,16,0.551083547,0.662563427
ED3048,JU310,9,0.426588211,0.482964628
ED3052,JU310,7,0.330986916,0.357405682
ED3073,JU310,13,0.50607557,0.520038817
EG4347,JU310,11,0.499066123,0.516815976
EG4349,JU310,16,0.415353264,0.434715126
EG4946,JU310,10,0.484807904,0.521203911
JT11398,JU310,7,0.353691308,0.461463933
CB4852,MY23,3,0.04487988,0.035243458
CX11292,MY23,3,0.047892854,0.072544432
CX11262,MY23,4,0.058631929,0.081756577
CX11315,MY23,4,0.087761654,0.103715966
CX11271,MY23,4,0.083144122,0.088817716
CX11276,MY23,4,0.071165389,0.096222208
CX11285,MY23,3,0.069077663,0.088220344
ED3005,MY23,3,0.035658484,0.028914204
ED3012,MY23,2,0.026117933,0.016325322
ED3017,MY23,3,0.054886201,0.073761324
ED3048,MY23,3,0.072340095,0.092752969
ED3052,MY23,3,0.072340095,0.092752969
ED3073,MY23,3,0.042369168,0.06047409
EG4347,MY23,4,0.07971676,0.107809679
EG4349,MY23,2,0.043270893,0.070588864
EG4946,MY23,3,0.038792593,0.039203436
JT11398,MY23,3,0.053449891,0.078609002
JU310,MY23,3,0.03340965,0.029830004
CB4852,JU1212,10,0.32902398,0.361911953
CX11292,JU1212,5,0.200974763,0.201091654
CX11262,JU1212,0,0,0
CX11315,JU1212,6,0.131580405,0.146013302
CX11271,JU1212,7,0.197398307,0.185880807
CX11276,JU1212,6,0.20604459,0.198675045
CX11285,JU1212,8,0.152422105,0.134567184
ED3005,JU1212,3,0.13412432,0.140534749
ED3012,JU1212,10,0.459362671,0.448914616
ED3017,JU1212,10,0.251062586,0.235931541
ED3048,JU1212,7,0.217630193,0.212635836
ED3052,JU1212,8,0.252432693,0.271187252
ED3073,JU1212,5,0.140934771,0.184944146
EG4347,JU1212,10,0.368071342,0.416409481
EG4349,JU1212,9,0.231316514,0.215969773
EG4946,JU1212,6,0.250737072,0.278481936
JT11398,JU1212,8,0.278084758,0.31421882
JU310,JU1212,6,0.175940561,0.189792093
MY23,JU1212,1,0.010150908,0.00621603
CB4852,JU1213,6,0.238673503,0.258567192
CX11292,JU1213,7,0.217264297,0.234222082
CX11262,JU1213,4,0.050681389,0.046711345
CX11315,JU1213,7,0.184914995,0.203493284
CX11271,JU1213,10,0.299567161,0.319870303
CX11276,JU1213,8,0.311345592,0.333514981
CX11285,JU1213,4,0.152698081,0.159073351
ED3005,JU1213,7,0.196477448,0.200660133
ED3012,JU1213,7,0.262361086,0.254916924
ED3017,JU1213,12,0.418711594,0.428535256
ED3048,JU1213,7,0.251897714,0.26513863
ED3052,JU1213,8,0.301264886,0.343209108
ED3073,JU1213,7,0.236416763,0.244638348
