strain1,strain2,chr_num,start,end
AB4,ED3077,1,1047893,1667277
MY18,DL200,1,1047893,1667277
JU310,ED3077,1,1047893,1667277
JU346,ED3077,1,1047893,1667277
PX174,ED3077,1,1047893,1667277
ED3077,JU1530,1,1047893,1667277
ED3077,JU1652,1,1047893,1667277
ED3077,PS2025,1,1047893,1667277
EG4349,JU1213,1,1047893,1667277
EG4349,EG4725,1,1047893,1667277
EG4349,JU1440,1,1047893,1667277
EG4349,JU1580,1,1047893,1667277
EG4349,JU393,1,1047893,1667277
EG4349,JU642,1,1047893,1667277
JT11398,JU1242,1,1047893,1667277
JT11398,PX179,1,1047893,1667277
JU1491,MY18,1,1047893,1667277
QX1233,JU1530,1,1047893,1667277
QX1233,JU1652,1,1047893,1667277
JU310,QX1233,1,1047893,1667277
JU346,QX1233,1,1047893,1667277
MY18,JU406,1,1047893,1667277
MY18,JU778,1,1047893,1667277
QX1233,PS2025,1,1047893,1667277
PX174,QX1233,1,1047893,1667277
CB4853,AB4,1,1431771,1993028
CB4853,JU367,1,1431771,1993028
CB4853,DL226,1,1431771,1993028
CX11285,KR314,1,1431771,1993028
DL200,KR314,1,1667281,1993028
ED3048,DL226,1,1667281,1993028
QX1233,DL226,1,1047893,1993028
DL226,ED3040,1,1431771,1993028
DL226,ED3077,1,1047893,1993028
DL226,LKC34,1,1431771,1993028
JU367,ED3040,1,1431771,1993028
ED3048,JU367,1,1667281,1993028
JU367,ED3077,1,1431771,1993028
EG4347,JT11398,1,1047893,1993028
EG4347,JU1246,1,1431771,1993028
EG4725,JU393,1,1047893,1993028
EG4725,JU782,1,1431771,1993028
JU1088,PB306,1,1431771,1993028
JU1213,JU393,1,1047893,1993028
JU360,JU1440,1,1667281,1993028
JU363,JU1440,1,1667281,1993028
JU1440,JU393,1,1047893,1993028
JU1440,JU782,1,1431771,1993028
JU1568,MY18,1,1431771,1993028
JU1580,JU393,1,1047893,1993028
JU311,MY18,1,1047893,1993028
JU346,JU775,1,1431771,1993028
JU360,JU642,1,1667281,1993028
JU363,JU642,1,1667281,1993028
JU367,QX1233,1,1047893,1993028
JU367,LKC34,1,1431771,1993028
JU393,JU642,1,1047893,1993028
JU642,JU782,1,1431771,1993028
MY1,PB306,1,1431771,1993028
MY18,MY16,1,1047893,1993028
EG4946,AB1,1,8174,2237612
CB4851,EG4946,1,8174,2237612
CB4852,EG4946,1,8174,2237612
CB4853,ED3040,1,1431771,2237612
CB4853,JU1088,1,1431771,2237612
CB4853,MY1,1,1431771,2237612
CB4857,ED3040,1,1431771,2237612
CB4857,JU1088,1,8174,2237612
CB4858,ED3040,1,1431771,2237612
CB4858,JU1088,1,8174,2237612
EG4946,CB4932,1,8174,2237612
CX11276,JU406,1,1667281,2237612
CX11276,KR314,1,1431771,2237612
CX11292,ED3040,1,1431771,2237612
CX11292,JU1088,1,8174,2237612
CX11307,ED3040,1,1431771,2237612
CX11307,JU1088,1,8174,2237612
CX11314,ED3040,1,1431771,2237612
CX11314,JU1088,1,8174,2237612
ED3005,ED3040,1,1431771,2237612
ED3005,JU1088,1,8174,2237612
ED3011,ED3040,1,1431771,2237612
ED3012,EG4946,1,8174,2237612
ED3017,EG4946,1,8174,2237612
ED3048,ED3040,1,1667281,2237612
ED3052,ED3040,1,1667281,2237612
JU323,ED3040,1,1431771,2237612
QX1233,ED3040,1,1431771,2237612
